id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source,balance
t1,u_demo,a_checking,2024-01-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,6716
t15,u_demo,a_checking,2024-01-02,-39.17,Chevron,CHEVRON OIL 6051,gas,false,5541,synthetic,6676.83
t26,u_demo,a_checking,2024-01-02,-5.34,Starbucks,STARBUCKS 2021,coffee,false,5814,synthetic,6671.49
t3,u_demo,a_checking,2024-01-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,5171.49
t37,u_demo,a_checking,2024-01-03,-167.25,Kaiser,Kaiser Permanente,healthcare,false,8011,synthetic,5004.24
t13,u_demo,a_checking,2024-01-04,-106.83,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,4897.41
t25,u_demo,a_checking,2024-01-04,-5.98,Starbucks,STARBUCKS 2585,coffee,false,5814,synthetic,4891.43
t7,u_demo,a_credit,2024-01-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,1523.01
t8,u_demo,a_credit,2024-01-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,1515.02
t9,u_demo,a_credit,2024-01-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,1512.03
t24,u_demo,a_checking,2024-01-08,-7.09,Starbucks,STARBUCKS 9226,coffee,false,5814,synthetic,4884.34
t21,u_demo,a_checking,2024-01-09,-38.97,Chipotle,CHIPOTLE 9792,restaurants,false,5812,synthetic,4845.37
t39,u_demo,a_checking,2024-01-09,-139.89,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,4705.48
t27,u_demo,a_checking,2024-01-10,-3.83,Starbucks,STARBUCKS 4843,coffee,false,5814,synthetic,4701.65
t29,u_demo,a_checking,2024-01-10,-5.69,Starbucks,STARBUCKS 1995,coffee,false,5814,synthetic,4695.96
t38,u_demo,a_checking,2024-01-10,-176.73,City Dental,CITY DENTAL,healthcare,false,8011,synthetic,4519.23
t4,u_demo,a_checking,2024-01-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,4439.23
t16,u_demo,a_checking,2024-01-12,-51.6,Chevron,CHEVRON OIL 7396,gas,false,5541,synthetic,4387.63
t5,u_demo,a_checking,2024-01-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,4327.63
t32,u_demo,a_checking,2024-01-13,-60.07,Lyft,LYFT TRIP 1878,rideshare,false,4121,synthetic,4267.56
t34,u_demo,a_checking,2024-01-13,-58.53,Uber,UBER TRIP 6276,rideshare,false,4121,synthetic,4209.03
t6,u_demo,a_checking,2024-01-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,4164.03
t2,u_demo,a_checking,2024-01-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,6664.03
t30,u_demo,a_checking,2024-01-16,-3.88,Starbucks,STARBUCKS 8629,coffee,false,5814,synthetic,6660.15
t17,u_demo,a_checking,2024-01-17,-36.97,Shell,SHELL OIL 3558,gas,false,5541,synthetic,6623.18
t22,u_demo,a_checking,2024-01-18,-12.93,Chipotle,CHIPOTLE 8513,restaurants,false,5812,synthetic,6610.25
t10,u_demo,a_checking,2024-01-20,-114.54,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,6495.71
t23,u_demo,a_checking,2024-01-20,-13.66,Chipotle,CHIPOTLE 8099,restaurants,false,5812,synthetic,6482.05
t14,u_demo,a_checking,2024-01-21,-124.08,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,6357.97
t12,u_demo,a_checking,2024-01-23,-127.29,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,6230.68
t40,u_demo,a_checking,2024-01-23,183.77,Venmo,VENMO CASHIN,transfer,false,6011,synthetic,6414.45
t36,u_demo,a_credit,2024-01-24,-225.39,American Airlines,AA 236330,travel,false,4511,synthetic,1286.64
t20,u_demo,a_checking,2024-01-25,-30.41,Chipotle,CHIPOTLE 4890,restaurants,false,5812,synthetic,6384.04
t31,u_demo,a_checking,2024-01-25,-4.46,Starbucks,STARBUCKS 8869,coffee,false,5814,synthetic,6379.58
t35,u_demo,a_credit,2024-01-25,-150.31,Best Buy,BESTBUY #6463,electronics,false,5732,synthetic,1136.33
t33,u_demo,a_checking,2024-01-26,-47.21,Uber,UBER TRIP 5859,rideshare,false,4121,synthetic,6332.37
t18,u_demo,a_checking,2024-01-28,-12.72,Chipotle,CHIPOTLE 1189,restaurants,false,5812,synthetic,6319.65
t11,u_demo,a_checking,2024-01-29,-87.35,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,6232.3
t19,u_demo,a_checking,2024-01-30,-39.5,Chipotle,CHIPOTLE 8734,restaurants,false,5812,synthetic,6192.8
t28,u_demo,a_checking,2024-01-31,-5.02,Starbucks,STARBUCKS 7873,coffee,false,5814,synthetic,6187.78
t41,u_demo,a_checking,2024-02-01,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,8687.78
t52,u_demo,a_checking,2024-02-01,-67.42,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic,8620.36
t71,u_demo,a_credit,2024-02-01,-181.52,Amazon,AMZN Mktp US*B6172,shopping,false,5942,synthetic,954.81
t43,u_demo,a_checking,2024-02-02,-1500.0,Landlord,MONTHLY RENT,housing,true,6513,synthetic,7120.36
t68,u_demo,a_checking,2024-02-02,-4.35,Starbucks,STARBUCKS 8554,coffee,false,5814,synthetic,7116.01
t51,u_demo,a_checking,2024-02-03,-112.76,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,7003.25
t56,u_demo,a_checking,2024-02-04,-60.22,Chevron,CHEVRON OIL 8574,gas,false,5541,synthetic,6943.03
t47,u_demo,a_credit,2024-02-05,-12.99,Spotify,SPOTIFY P123,subscription,true,5815,synthetic,941.82
t74,u_demo,a_checking,2024-02-05,-173.04,Walgreens Clinic,WALGREENS CLINIC,healthcare,false,8011,synthetic,6769.99
t48,u_demo,a_credit,2024-02-06,-7.99,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic,933.83
t63,u_demo,a_checking,2024-02-06,-16.66,Panera Bread,PANERA BREAD 5413,restaurants,false,5812,synthetic,6753.33
t72,u_demo,a_credit,2024-02-06,-162.85,American Airlines,AA 170467,travel,false,4511,synthetic,770.98
t76,u_demo,a_checking,2024-02-06,58.16,Zelle Transfer,ZELLE TO FRIEND,transfer,false,6011,synthetic,6811.49
t49,u_demo,a_credit,2024-02-07,-2.99,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic,767.99
t58,u_demo,a_checking,2024-02-07,-36.41,Chipotle,CHIPOTLE 4157,restaurants,false,5812,synthetic,6775.08
t50,u_demo,a_checking,2024-02-08,-98.32,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,6676.76
t44,u_demo,a_checking,2024-02-10,-80.0,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic,6596.76
t59,u_demo,a_checking,2024-02-10,-23.7,Local Diner,LOCAL DINER 3693,restaurants,false,5812,synthetic,6573.06
t64,u_demo,a_checking,2024-02-10,-7.24,Starbucks,STARBUCKS 1663,coffee,false,5814,synthetic,6565.82
t45,u_demo,a_checking,2024-02-12,-60.0,Comcast,HOME INTERNET,internet,true,4816,synthetic,6505.82
t60,u_demo,a_checking,2024-02-12,-19.73,Chipotle,CHIPOTLE 6450,restaurants,false,5812,synthetic,6486.09
t46,u_demo,a_checking,2024-02-14,-45.0,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic,6441.09
t53,u_demo,a_checking,2024-02-14,-94.66,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,6346.43
t42,u_demo,a_checking,2024-02-15,2500.0,Acme Inc.,PAYROLL,Income,true,0,synthetic,8846.43
t54,u_demo,a_checking,2024-02-15,-86.74,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic,8759.69
t57,u_demo,a_checking,2024-02-15,-41.44,Shell,SHELL OIL 5636,gas,false,5541,synthetic,8718.25
