id,user_id,account_id,date,amount,merchant,description,category,is_recurring,mcc,source
t1,u_user8,a_checking,2024-01-01,2473.67,Acme Inc.,PAYROLL,Income,true,0,synthetic
t3,u_user8,a_checking,2024-01-02,-1481.18,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t10,u_user8,a_checking,2024-01-03,-53.06,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t17,u_user8,a_checking,2024-01-03,-28.32,Local Diner,LOCAL DINER 2028,restaurants,false,5812,synthetic
t11,u_user8,a_checking,2024-01-05,-101.07,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t19,u_user8,a_checking,2024-01-05,-24.09,Chipotle,CHIPOTLE 6859,restaurants,false,5812,synthetic
t7,u_user8,a_credit,2024-01-05,-12.45,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t16,u_user8,a_checking,2024-01-06,-25.11,Panera Bread,PANERA BREAD 2105,restaurants,false,5812,synthetic
t8,u_user8,a_credit,2024-01-06,-8.28,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t15,u_user8,a_checking,2024-01-07,-35.8,Chipotle,CHIPOTLE 5540,restaurants,false,5812,synthetic
t9,u_user8,a_credit,2024-01-07,-2.94,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t27,u_user8,a_credit,2024-01-08,-126.19,Amazon,AMZN Mktp US*E6427,shopping,false,5942,synthetic
t29,u_user8,a_checking,2024-01-09,-67.92,Kaiser,Kaiser Permanente,healthcare,false,8011,synthetic
t18,u_user8,a_checking,2024-01-10,-15.18,Chipotle,CHIPOTLE 7278,restaurants,false,5812,synthetic
t4,u_user8,a_checking,2024-01-10,-83.51,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t28,u_user8,a_credit,2024-01-11,-123.2,Best Buy,BESTBUY #7343,electronics,false,5732,synthetic
t13,u_user8,a_checking,2024-01-12,-40.89,Shell,SHELL OIL 3418,gas,false,5541,synthetic
t5,u_user8,a_checking,2024-01-12,-62.42,Comcast,HOME INTERNET,internet,true,4816,synthetic
t23,u_user8,a_checking,2024-01-13,-4.95,Starbucks,STARBUCKS 6247,coffee,false,5814,synthetic
t26,u_user8,a_credit,2024-01-13,-73.33,Target,TARGET #5020,shopping,false,5311,synthetic
t31,u_user8,a_checking,2024-01-13,116.77,Venmo,VENMO CASHIN,transfer,false,6011,synthetic
t6,u_user8,a_checking,2024-01-14,-44.73,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t2,u_user8,a_checking,2024-01-15,2499.47,Acme Inc.,PAYROLL,Income,true,0,synthetic
t25,u_user8,a_checking,2024-01-15,-61.4,Uber,UBER TRIP 6971,rideshare,false,4121,synthetic
t24,u_user8,a_checking,2024-01-19,-5.85,Starbucks,STARBUCKS 9874,coffee,false,5814,synthetic
t14,u_user8,a_checking,2024-01-21,-32.78,Chevron,CHEVRON OIL 5287,gas,false,5541,synthetic
t12,u_user8,a_checking,2024-01-23,-61.3,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t20,u_user8,a_checking,2024-01-23,-3.85,Starbucks,STARBUCKS 5453,coffee,false,5814,synthetic
t21,u_user8,a_checking,2024-01-26,-5.1,Starbucks,STARBUCKS 5877,coffee,false,5814,synthetic
t22,u_user8,a_checking,2024-01-27,-4.58,Starbucks,STARBUCKS 7137,coffee,false,5814,synthetic
t30,u_user8,a_checking,2024-01-28,141.94,Venmo,VENMO CASHIN,transfer,false,6011,synthetic
t32,u_user8,a_checking,2024-02-01,2561.71,Acme Inc.,PAYROLL,Income,true,0,synthetic
t34,u_user8,a_checking,2024-02-02,-1450.89,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t62,u_user8,a_checking,2024-02-03,-212.63,Walgreens Clinic,WALGREENS CLINIC,healthcare,false,8011,synthetic
t52,u_user8,a_checking,2024-02-04,-30.02,Local Diner,LOCAL DINER 2375,restaurants,false,5812,synthetic
t38,u_user8,a_credit,2024-02-05,-13.58,Spotify,SPOTIFY P123,subscription,true,5815,synthetic
t50,u_user8,a_checking,2024-02-05,-22.21,Chipotle,CHIPOTLE 5715,restaurants,false,5812,synthetic
t39,u_user8,a_credit,2024-02-06,-7.92,Netflix,NETFLIX.COM SUB,subscription,true,5815,synthetic
t43,u_user8,a_checking,2024-02-06,-93.98,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t45,u_user8,a_checking,2024-02-06,-32.23,Shell,SHELL OIL 1782,gas,false,5541,synthetic
t40,u_user8,a_credit,2024-02-07,-2.93,Apple,APPLE.COM/BILL,subscription,true,5734,synthetic
t60,u_user8,a_credit,2024-02-07,-170.1,Target,TARGET #8623,shopping,false,5311,synthetic
t53,u_user8,a_checking,2024-02-09,-3.76,Starbucks,STARBUCKS 9948,coffee,false,5814,synthetic
t35,u_user8,a_checking,2024-02-10,-78.65,Electric Co,ELECTRIC BILL,utilities,true,4900,synthetic
t46,u_user8,a_checking,2024-02-11,-41.68,Chevron,CHEVRON OIL 8050,gas,false,5541,synthetic
t55,u_user8,a_checking,2024-02-11,-6.91,Starbucks,STARBUCKS 5270,coffee,false,5814,synthetic
t36,u_user8,a_checking,2024-02-12,-57.12,Comcast,HOME INTERNET,internet,true,4816,synthetic
t37,u_user8,a_checking,2024-02-14,-46.95,T-Mobile,MOBILE BILL,mobile,true,4814,synthetic
t33,u_user8,a_checking,2024-02-15,2566.7,Acme Inc.,,Income,true,0,synthetic
t47,u_user8,a_checking,2024-02-15,-37.64,Chipotle,CHIPOTLE 7055,restaurants,false,5812,synthetic
t58,u_user8,a_checking,2024-02-15,-5.16,Starbucks,STARBUCKS 7577,coffee,false,5814,synthetic
t44,u_user8,a_checking,2024-02-17,-82.4,Chevron,CHEVRON OIL 9785,gas,false,5541,synthetic
t61,u_user8,a_credit,2024-02-17,-276.4,Delta Airlines,,travel,false,4511,synthetic
t42,u_user8,a_checking,2024-02-20,-107.81,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t59,u_user8,a_credit,2024-02-21,-105.88,Best Buy,BESTBUY #5573,electronics,false,5732,synthetic
t56,u_user8,a_checking,2024-02-22,-4.05,Starbucks,STARBUCKS 6870,coffee,false,5814,synthetic
t57,u_user8,a_checking,2024-02-22,-3.07,Starbucks,STARBUCKS 2420,coffee,false,5814,synthetic
t49,u_user8,a_checking,2024-02-23,-23.13,Panera Bread,PANERA BREAD 3547,restaurants,false,5812,synthetic
t51,u_user8,a_checking,2024-02-23,-18.13,Panera Bread,PANERA BREAD 9664,restaurants,false,5812,synthetic
t54,u_user8,a_checking,2024-02-24,-5.86,Starbucks,STARBUCKS 9093,coffee,false,5814,synthetic
t41,u_user8,a_checking,2024-02-27,-56.16,Whole Foods,WHOLEFDS #1045,groceries,false,5411,synthetic
t48,u_user8,a_checking,2024-02-27,-21.14,Chipotle,CHIPOTLE 1954,restaurants,false,5812,synthetic
t63,u_user8,a_checking,2024-03-01,2562.87,Acme Inc.,PAYROLL,Income,true,0,synthetic
t76,u_user8,a_checking,2024-03-01,-122.32,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t65,u_user8,a_checking,2024-03-02,-1508.11,Landlord,MONTHLY RENT,housing,true,6513,synthetic
t74,u_user8,a_checking,2024-03-03,-141.6,GrocerMart,GROCERY STORE,groceries,false,5411,synthetic
t86,u_user8,a_checking,2024-03-03,-17.38,Panera Bread,PANERA BREAD 1328,restaurants,false,5812,synthetic
t87,u_user8,a_checking,2024-03-03,-4.58,Starbucks,STARBUCKS 2137,coffee,false,5814,synthetic
